PCA1,PCA2,cancer_type
-132.08805268133017,79.91608795219912,bladder
-135.97756425317422,79.12827061511315,bladder
-138.5869223252056,79.64694416392686,bladder
-133.76435057401744,62.23244697495319,bladder
-138.85871147865245,79.38845206599728,bladder
-131.75336296074403,87.29043333806095,bladder
-130.00659662268245,80.72059718666499,bladder
-166.128986595642,-26.98885619013642,bladder
-133.02850307353006,83.58444251664721,bladder
-133.44443602647888,78.2205282586622,bladder
-159.79599215156813,-1.3608865593435155,bladder
-154.2284054404937,33.25083826029889,bladder
-153.9385207701333,37.069510673132136,bladder
-174.22882049902984,-37.54864976990991,bladder
-141.9890489433081,94.7551951757481,bladder
-154.0147209892101,63.50815317566505,bladder
-145.18182258572818,80.34745247262323,bladder
-139.2240677275904,87.016524176013,bladder
-145.74054456902456,80.19318967029368,bladder
-139.316453156683,94.81893340076711,bladder
-140.2026241683665,92.5301222789147,bladder
-149.07487022203784,60.81517119938251,bladder
-139.05582271650744,87.48025198878277,bladder
-180.85278399149573,-19.61403637430481,bladder
-134.84786664264794,81.2313593227836,bladder
-154.19530371834165,59.02176906836575,bladder
-146.0255718401113,74.71522958618007,bladder
-141.83949934221846,94.42779644891598,bladder
-155.28547019582248,36.02664167224774,bladder
-172.3107982333006,8.349361086182697,bladder
-149.5914399843614,71.5707390639995,bladder
-171.82722035712052,-26.82549081781351,bladder
-176.97380846415626,-14.622147875987242,bladder
-133.3689586193466,94.61205865579828,bladder
-184.1973745517063,-51.04746035051631,bladder
-141.42979902071036,93.89288174867552,bladder
-145.8254586779676,75.95294849615824,bladder
-179.51578715417395,-28.946434715998514,bladder
-165.6425781058352,29.40067797727433,bladder
-182.7629577628528,-65.44292263594168,bladder
-178.64983703359377,-89.97786190446344,bladder
-161.38955886495006,41.141424601705396,bladder
-156.5577610998484,45.14758549984951,bladder
35.63363759262384,-65.37730049468352,normal
15.376881714805743,-112.62770814585699,normal
412.0363284437688,93.35620378703969,normal
156.46473340229193,-64.91549027701181,normal
46.303952547099975,-111.17010598177917,normal
417.7712749576607,105.98355178033046,normal
57.296527755742204,-103.86646299614235,normal
34.66057351178752,-114.01030557027694,normal
94.39210777762572,-49.02894775328552,normal
54.25293452514249,-87.04342371299208,normal
142.1760254981992,-96.99545490379072,normal
412.2758866255388,84.13952009113393,normal
88.17110105609225,-65.7104952778511,normal
-49.88013979225645,-80.89743103624899,normal
420.52337972496,116.16591209515123,normal
102.65073403488663,-130.9908322041489,normal
144.88941802167682,-40.18060002647982,normal
40.789391590136354,-104.48388747386774,normal
53.81240074407709,-109.60822161993629,normal
47.135323277079245,-105.41594738322415,normal
156.36762373881703,-56.35918761308882,normal
415.27044083404024,90.96556632280407,normal
448.5828067469749,140.29622996828235,normal
48.356472209721765,-126.37147571080496,normal
88.31178949298972,-95.63151162755985,normal
156.25239564368445,-58.721335669068154,normal
388.83002305374555,48.99012213587676,normal
145.01094529899984,-44.084950786376105,normal
58.47328673705206,-100.77768429429466,normal
52.05118265334333,-80.86619593619977,normal
237.7646526016778,-45.11855246876106,normal
48.66104702514879,-97.57243019017501,normal
52.639805624099246,-85.34577687782604,normal
25.308796278146815,-114.93250664523886,normal
440.61518385483834,131.6461319816772,normal
52.45104458357233,-116.38154111770625,normal
50.01668155693928,-91.99695231163908,normal
33.36380582987874,-125.74404560806771,normal
-58.09540597537847,-115.51532823739662,normal
428.21778605878586,137.63574858761086,normal
89.88615866588482,-86.19525186246106,normal
419.94520243910534,97.46332883642658,normal
17.70483623069366,-127.73424534966023,normal
